question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
Hormone secretion in the human body is primarily the function of:,Nerves,Muscles,Exocrine glands,Endocrine glands,D,multiple_choice,1992,455
"A ______ is a long, thread-like structure of DNA that carries genetic information in the form of ______.","Gene, Chromosomes","Cell, Genes","Chromosome, Genes","Nucleus, Chromosomes",C,multiple_choice,1992,456
"The natural pacemaker of the human heart, responsible for initiating the heartbeat, is the:",Aortic valve,Purkinje fibers,Sinoatrial (SA) node,Atrioventricular (AV) node,C,multiple_choice,1992,456
A deficiency of iron in the human body leads to a decrease in the quantity of:,Platelets,White blood cells,Haemoglobin,Plasma,C,multiple_choice,1992,457
Standard atmospheric pressure at sea level is equal to:,76 mm of Hg,760 mm of Hg,100 mm of Hg,1012 mm of Hg,B,multiple_choice,1992,457
"The ""Book of Optics"" (Kitab al-Manazir), which laid the foundations for modern optics, was written by:",Al-Kindi,Jabir ibn Hayyan,Ibn al-Haytham (Alhazen),Omar Khayyam,C,multiple_choice,1992,457
The primary difference between a 'Dam' and a 'Barrage' is that a dam is built for ______ while a barrage is mainly for ______.,"Irrigation, Water storage","Water storage, River diversion","Power generation, Flood control","Diversion, Storage",B,multiple_choice,1992,458
10. Which of the following is an example of an underground stem used for food storage?,Carrot,Radish,Potato,Beetroot,C,multiple_choice,1992,458
11. The key difference between drug use and drug abuse is the:,Type of drug taken,Time of day it is taken,Legality of the drug,Harmful and excessive consumption,D,multiple_choice,1992,458
12. Which of the following is a flying mammal?,Ostrich,Bat,Eagle,Flying squirrel,B,multiple_choice,1992,459
"13. Warm-blooded animals, such as mammals and birds, are those that can:",Live only in warm climates,Maintain a constant internal body temperature,Change their blood color,Survive without water for long periods,B,multiple_choice,1992,459
"14. The Law of Heredity, proposed by Gregor Mendel, states that traits are passed from parents to offspring through:",Blood mixing,Dominant habits,Discrete units called genes,Acquired characteristics,C,multiple_choice,1992,460
"15. The imaginary lines running horizontally around the Earth, parallel to the equator, are called lines of:",Longitude,Altitude,Latitude,Meridian,C,multiple_choice,1992,460
"16. Hard water contains dissolved salts of ______ and ______, while heavy water contains ______.","Sodium & Potassium, Hydrogen","Calcium & Magnesium, Deuterium","Chlorine & Fluorine, Tritium","Iron & Zinc, Oxygen-18",B,multiple_choice,1992,460
17. The coronary artery is a crucial blood vessel that supplies blood directly to the:,Lungs,Brain,Heart muscle,Kidneys,C,multiple_choice,1992,461
"18. The concept of controlled experimentation and the classification of substances into mineral, vegetable, and animal is a major contribution of:",Ibn Sina,Al-Razi (Rhazes),Al-Khwarizmi,Ibn al-Haytham,B,multiple_choice,1992,461
19. Meat takes longer to cook on a mountain top because the lower atmospheric pressure causes water to:,Boil at a higher temperature,Freeze faster,Boil at a lower temperature,Evaporate slowly,C,multiple_choice,1992,462
20. Electrical power is transmitted at very high voltages to:,Increase the current,Increase the speed of electricity,Reduce energy loss as heat,Make the wires safer,C,multiple_choice,1992,462
21. The common gas used in children's toy balloons that causes them to rise upwards is:,Oxygen,Nitrogen,Helium,Carbon dioxide,C,multiple_choice,1992,462
22. The Law of Gravitation states that the force of attraction between two objects is directly proportional to the product of their masses and inversely proportional to the:,Distance between them,Square of the distance between them,Sum of their masses,Speed of the objects,B,multiple_choice,1992,463
"23. In the human body, the primary organ responsible for vision is the:",Ear,Lens,Eye,Retina,C,multiple_choice,1992,463
24. A particle with a positive charge but a mass equal to that of an electron is called a:,Neutron,Proton,Positron,Quark,C,multiple_choice,1992,463
25. Iron corrodes (rusts) due to the formation of:,Iron sulphide,Iron chloride,Iron carbonate,Iron oxide,D,multiple_choice,1992,464
26. The condition where arteries become hard due to the deposition of fatty materials like cholesterol is known as:,Arthritis,Atherosclerosis,Anemia,Osteoporosis,B,multiple_choice,1992,464
27. The visible light spectrum has a wavelength range of approximately:,100-300 nanometers,400-700 nanometers,800-1000 nanometers,>1100 nanometers,B,multiple_choice,1992,465
"28. The state of ""winter sleep"" in animals to conserve energy is called:",Aestivation,Migration,Hibernation,Osmosis,C,multiple_choice,1992,465
29. A fluorescent tube is more efficient than an incandescent bulb because it converts more electrical energy into:,Heat,Light,Sound,Ultraviolet radiation,B,multiple_choice,1992,465
30. Meat and eggs are excellent dietary sources of:,Carbohydrates,Fiber,Proteins,Vitamin C,C,multiple_choice,1992,466
"Of all the flying machines man has made, which are suitable for space flight beyond Earth's atmosphere?",Jet Aircraft,Rockets,Balloons,Helicopters,B,multiple_choice,1991,467
"From the following list, which is a natural polymer?",Acrylic,Dacron,Protein,Melmac,C,multiple_choice,1991,467
An object that gives off its own light is said to be:,Illuminated,Luminous,Transparent,Translucent,B,multiple_choice,1991,468
The type of radiation that is unaffected by a magnetic field is:,Alpha rays,Beta rays,Gamma rays,Cathode rays,C,multiple_choice,1991,468
What is the fundamental difference between natural and artificial radioactivity?,Type of particles emitted,Spontaneous vs. induced decay,Half-life duration,Energy released,B,multiple_choice,1991,468
Proteins are polymers made from basic building blocks called:,Fatty acids,Glucose,Nucleic acids,Amino acids,D,multiple_choice,1991,469
The discovery of the pulmonary circulation of blood is credited to:,Al-Kindi,Ibn Sina,Ibn-e-Nafis,Al-Farabi,C,multiple_choice,1991,469
Haemophilia is a genetic disorder characterized by defective:,Blood clotting,Oxygen transport,Vision,Hearing,A,multiple_choice,1991,470
"10. Hormones are chemical messengers secreted by ______ glands, while enzymes are biological catalysts typically produced by ______ glands.","Endocrine, Exocrine","Exocrine, Endocrine","Salivary, Adrenal",Both are from Endocrine,A,multiple_choice,1991,470
"11. A microscope is used to view ______ objects, while a telescope is used to view ______ objects.","Far, near","Small and near, large and far",,,B,true_false,1991,470
"12. The ""Greenhouse Effect"" is the process where certain atmospheric gases:",Block solar radiation,Trap outgoing heat,Create holes in the ozone layer,Cause acid rain,B,multiple_choice,1991,471
13. Which of the following disciplines falls under the category of Natural Sciences?,Sociology,History,Physics,Literature,C,multiple_choice,1991,471
14. Science differs from the fine arts because it is based on:,Empirical evidence,Emotional appeal,Moral values,Personal intuition,A,multiple_choice,1991,471
15. The method by which man provides for his everyday needs and desires is called:,Versatility,Engineering,Technology,Philosophy,C,multiple_choice,1991,472
16. Edward Jenner is famous for developing the vaccine for:,Smallpox,Penicillin,Polio,Rabies,A,multiple_choice,1991,472
"17. The phenomenon of ""Acid Rain"" is primarily caused by the atmospheric presence of:",Carbon dioxide and methane,Ozone and CFCs,Sulfur dioxide and nitrogen oxides,Dust and pollen,C,multiple_choice,1991,473
18. Jabir Ibn Hayyan is widely regarded as the father of:,Optics,Algebra,Chemistry,Philosophy,C,multiple_choice,1991,473
19. A fundamental limitation of science is its inability to:,Make precise measurements,Prove theories,Make moral judgments,Observe distant galaxies,C,multiple_choice,1991,473
20. Ibn Sina (Avicenna) is most renowned for his monumental work in the field of:,Algebra,Medicine,Optics,"Sociology essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",B,multiple_choice,1991,474
21. An involuntary and rapid response to a stimulus is known as a:,Transfusion,Reflex action,Digestion,Inflammation,B,multiple_choice,1991,476
22. Transistors do not need a warm-up period because they have no:,Plate,Grid,Filament,Diode,C,multiple_choice,1991,476
23. The functional filtering unit of the kidney is the:,Neuron,Nephron,Alveolus,Villus,B,multiple_choice,1991,476
24. An electric heater would be most likely to produce which type of radiation?,X-rays,Ultraviolet (UV),Infrared (IR),Gamma rays,C,multiple_choice,1991,477
25. The transfer of pollen from the anther to the stigma of a flower is called:,Fertilization,Germination,Pollination,Digestion,C,multiple_choice,1991,477
"26. Bakelite, an early plastic, is a thermosetting polymer known for its use in:",Carry bags,Food packaging,Electrical switches and insulators,Water pipes,C,multiple_choice,1991,477
27. The founder of algebra and the creator of the term itself was:,Ibn-al-Haitham,Al-Khawarizmi,Ibn Baitar,Umar Khayyam,B,multiple_choice,1991,478
"28. If we know the mass of an object and the net force applied on it, it is possible to calculate its:",Volume,Density,Weight,Acceleration,D,multiple_choice,1991,478
29. Science is a systematic enterprise that builds and organizes knowledge in the form of:,Testable explanations and predictions,Philosophical doctrines,Aesthetic expressions,Subjective interpretations,A,multiple_choice,1991,479
30. Hydel power is generated from the energy of ______ while nuclear power is from ______.,"Wind, the Sun","Moving water, atomic fission","Earth's heat, fossil fuels","Burning coal, ocean tides",B,multiple_choice,1991,479
The working principle of a rocket is based on:,Boyle's Law,Archimedes' Principle,Newton's Third Law of Motion,Bernoulli's Principle,C,multiple_choice,1990,480
Human skin synthesizes which vitamin when exposed to sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,C,multiple_choice,1990,480
"Thyroxin, a hormone that regulates metabolism, is secreted by which gland?",Pituitary,Pineal,Pancreas,Thyroid,D,multiple_choice,1990,481
"The part of the human eye that controls the amount of light entering, similar to a camera's aperture, is the:",Cornea,Retina,Pupil,Lens,C,multiple_choice,1990,481
A major plant source of Vitamin A (Retinol) is:,Citrus fruits,Whole grains,Carrots,Pulses,C,multiple_choice,1990,481
Nematocides are pesticides effective against:,Mites,Rodents,Fungi,Roundworms,D,multiple_choice,1990,482
Which statement best describes the difference between an air cooler and an air conditioner?,"A cooler heats air, a conditioner cools it","A cooler uses water evaporation, a conditioner uses a refrigerant","A cooler dehumidifies, a conditioner adds humidity",There is no difference,B,multiple_choice,1990,482
The key outcome differentiating Meiosis from Mitosis is that Meiosis produces:,Two diploid cells,Two haploid cells,Four diploid cells,Four haploid cells,D,multiple_choice,1990,483
10. The process of deliberately adding impurities to a semiconductor to change its conductivity is known as:,Doping,Annealing,Alloying,Sintering,A,multiple_choice,1990,483
11. A Solar Eclipse happens around the new moon phase because:,The Earth is between the Sun and Moon,The Moon is between the Sun and Earth,The Sun is between the Earth and Moon,The Earth's shadow falls on the Moon,B,multiple_choice,1990,483
12. The conductivity of a semiconductor material ______ with an increase in temperature.,Increases,Decreases,Remains the same,Becomes zero,A,multiple_choice,1990,484
"13. Adrenalin, the 'fight-or-flight' hormone, is secreted by the:",Ovaries,Adrenal glands,Testes,Thyroid gland,B,multiple_choice,1990,484
14. Glands that secrete hormones directly into the bloodstream are called:,Exocrine glands,Salivary glands,Endocrine glands,Sweat glands,C,multiple_choice,1990,484
"15. From a physics perspective, a beta particle is essentially a high-speed:",Proton,Neutron,Electron or positron,Photon,C,multiple_choice,1990,485
16. A chemical substance used to kill or control pests is broadly defined as a:,Fertilizer,Herbicide,Pesticide,Fungicide,C,multiple_choice,1990,485
17. The regulation of body temperature by the skin is primarily achieved through:,Shivering,Sweating and blood flow,Fat insulation,Hair erection,B,multiple_choice,1990,486
"18. In radio transmission, the process of superimposing a low-frequency signal onto a high- frequency carrier wave is called:",Amplification,Modulation,Demodulation,Attenuation,B,multiple_choice,1990,486
